condition,metric,point,ci_low,ci_high,bootstrap_samples,seed
append,clean_macro_f1_paired,0.8969821769277304,0.8815362559898998,0.9122700910641813,2000,1337
append,transformed_macro_f1,0.8949825257974353,0.880152419429862,0.9102940097349227,2000,1337
append,prediction_stability,0.9939799331103679,0.9899665551839465,0.9973244147157191,2000,1337
append,attack_success_rate,0.0044742729306487695,0.0014792899408284023,0.008240009440562386,2000,1337
slack,clean_macro_f1_paired,0.8898221822459005,0.8724777847740535,0.9070138752057759,2000,1337
slack,transformed_macro_f1,0.8899039436567784,0.8731752914156439,0.9064771165313429,2000,1337
slack,prediction_stability,0.9969856819894499,0.9939713639788997,0.9992464204973625,2000,1337
slack,attack_success_rate,0.0016906170752324597,0.0,0.004237377984790327,2000,1337
